neighborhood,population,density
Mission,56.87,31.27
Bayview,20.59,
South of Market,24.61,20.26
Tenderloin,22.78,128.98
Financial District,3.84,21
Parkside,18.57,17.73
Western Addition,11.45,36.03
West of Twin Peaks,3.12,
Nob Hill,18.80,60.67
Bernal Heights,24.50,21.73
Outer Richmond,16.60,
Castro,14.12,
Excelsior,23.04,24.96
Hayes Valley,13.74,38.58
Potrero Hill,10.83,
Outer Mission,10.9,27.61
Pacific Heights,18.92,28.31
Haight Ashbury,10.48,36.08
Portola,17.15,
Marina,12.65,
Lone Mountain,7.28,24.85
Noe Valley,15.17,22.98
Russian Hill,13.55,31.23
Oceanview,6.57,28.21
North Beach,6.82,52.16
Visitacion Valley,20.15,
Inner Sunset,17,26.6
Inner Richmond,17.09,29.42
Lakeshore,4.70,2.41
Presidio Heights,4.02,16.75
Chinatown,6.01,62.50
Mission Bay,1.92,
Golden Gate Park,0.15,0.09
Glen Park,7.62,
Twin Peaks,3.51,
Japantown,1.40,
Treasure Island,2.71,
Seacliff,1.35,
McLaren Park,17.15,
Presidio,3.24,1.36
Lincoln Park / Ft. Miley,1.35,
Outer Sunset,16.13,
Silver Terrace,8.728,
Mission Dolores,7.742,
Civic Center,9.998,
Lower Nob Hill,14.473,
Bret Harte,5.315,
Cathedral Hill,2.868,
Mission Terrace,11.0,
Parkmerced,10.158,
Dolores Heights,9.701,
Duboce Triangle,2.959,
Lower Haight,9.12,30.653
Cayuga,6.797,
Hunters Point,4.642,
Panhandle,10.44,
Lower Pacific Heights,11.475,
Produce Market,0.058,
Downtown / Union Square,20.453,
Central Waterfront,1.647,
Buena Vista,2.641,
Golden Gate Heights,2.316,
Fishermans Wharf,1.441
Union Street,5.288,
Apparel City,0.021,
Polk Gulch,5.126,
Sunnyside,5.595
Crocker Amazon,13.161
Eureka Valley,12.5,18.89
Showplace Square,1.052,
Ingleside,9.51,
Dogpatch,1.647,
Rincon Hill,1.532,15.942
Fairmount,3.942,
Alamo Square,5.768,
Merced Heights,3.198,
Peralta Heights,2.146,
Holly Park,4.236,
South Beach,10.277,
Upper Market,4.299,
Ingleside Terraces,2.015,
Sunnydale,4.102,
Northern Waterfront,2.405,
University Mound,4.702,
Sutro Heights,3.157,
St. Marys Park,2.997,
Stonestown,10.976,
Laurel Heights / Jordan Park,3.742,
Telegraph Hill,7.999,
Anza Vista,2.004,
Cow Hollow,8.546,
Mint Hill,1.678,
Diamond Heights,3.274,
Miraloma Park,4.743,
Westwood Park,1.754,
Ashbury Heights,3.070,
Little Hollywood,1.71,
Presidio Terrace,2.396,
West Portal,2.851,
Candlestick Point SRA,1.23,
Merced Manor,0.958,
India Basin,0.41,
Forest Hill,2.767,
Sherwood Forest,0.554,
Lake Street,3.79,
Cole Valley,44.239,
Laguna Honda,3.28,
Clarendon Heights,0.607,
Midtown Terrace,3.105,
Forest Knolls,2.867,
Aquatic Park / Ft. Mason,0.875,
Parnassus Heights,5.192,
Corona Heights,3.489,
Mt. Davidson Manor,2.04,
Presidio National Park,0.799,
Westwood Highlands,1.903,
Monterey Heights,0.801,
Balboa Terrace,0.93,
St. Francis Wood,1.611,